train_lang,test_lang,acc,f1
eu,mr,0.8125,0.7723342939481268
eu,nl,0.6969657337169762,0.6479577126381548
eu,pt,0.6878118496602562,0.6494436041486603
eu,ru,0.7482019516576259,0.6820244891372319
eu,ta,0.7316209034543845,0.6367041198501873
eu,te,0.823262839879154,0.7761194029850745
eu,tr,0.797483890764038,0.7384068700029611
eu,ur,0.6309580961525273,0.5007295010213013
eu,vi,0.5978808407156505,0.5071664829106945
eu,zh,0.3637763563136697,0.2682762113793686
fa,af,0.7991348504795938,0.7798507462686568
fa,ar,0.7294312322019549,0.6581038321809446
fa,bg,0.8048356019640749,0.7843499488668229
fa,de,0.7850678801211446,0.7692855504531974
fa,el,0.7715751060262354,0.73125
fa,en,0.7612083280112403,0.7419243452288461
fa,es,0.7757968970380819,0.7692233969271317
fa,et,0.8135194479297365,0.7695419699800295
fa,eu,0.643951027184063,0.5428073362960052
fa,fa,0.9846397968898762,0.9761642273332067
fa,fi,0.7781308851224106,0.7271759382486025
fa,fr,0.5144945990110567,0.5489656705427973
fa,he,0.7211055276381909,0.6547028838768242
fa,hi,0.6534344208762813,0.6167867953241801
fa,hu,0.7186022070415135,0.6618741456993874
fa,id,0.6179035838883603,0.5882519462137297
fa,it,0.7861652484216305,0.7698333820520317
fa,ja,0.2863988847259737,0.2088730787301161
fa,ko,0.5791169835642926,0.4193386686947954
fa,mr,0.8,0.7136431784107945
fa,nl,0.7546429505623855,0.7413981820777614
fa,pt,0.7657899355615174,0.7661173596080046
fa,ru,0.8123685767440534,0.7728771131209816
fa,ta,0.6200177147918512,0.504258943781942
fa,te,0.8217522658610272,0.7762711864406779
fa,tr,0.7535031195663291,0.6892702832453191
fa,ur,0.6228653727453536,0.5627061310782241
fa,vi,0.5996178565224943,0.5111876961061674
fa,zh,0.35268103924820343,0.2404362462788304
fi,af,0.705096859131089,0.6778057372924006
fi,ar,0.5878165165858539,0.5033112582781457
fi,bg,0.8013549630182112,0.7686019075471071
fi,de,0.6964214142570856,0.6759144924108345
fi,el,0.6624913699575895,0.6379264463249774
fi,en,0.7271043556009708,0.695843190266982
fi,es,0.640981664315938,0.5978843664151062
fi,et,0.904530381788851,0.8797625187104564
fi,eu,0.7676696410043578,0.6742840543223025
fi,fa,0.6373849571564583,0.5165594284135319
fi,fi,0.9573328625235404,0.9467630095262782
fi,fr,0.45720591668258315,0.45078851481462917
fi,he,0.7875089734386217,0.7171155764571754
fi,hi,0.6743902092739302,0.5750487004878373
fi,hu,0.7268348222105447,0.6567298105682952
fi,id,0.7584046939422772,0.6971536109150788
fi,it,0.6863207978772075,0.6391978158750552
